PCA Component 1,PCA Component 2
-54.755485790987045,76.88989946674639
-104.12913111432648,165.65773539759903
-84.84392949074818,164.02473328657578
-51.58155452409828,66.2232854275914
-53.49292826620507,69.66523192627521
-20.926040602217775,-27.607437100558
-29.123302539483493,-15.554599012603449
-17.955745001537668,-48.39778089608281
-3.7646808982896642,-49.44836722069848
-13.20297019698868,-49.025357130911345
-32.553276877929214,-17.82112970598334
-37.72140349705643,-14.563504736110268
-14.93895871385608,-34.1643869107526
-15.497265877741947,-49.554641268113635
-20.227936787531096,-3.3684745026653946
-25.63691617498823,-21.9830277850711
-16.642318605682064,-39.15251004473651
-9.651354585965544,-49.4184919416084
-32.16452473071894,-23.848941475874778
-9.372272600303477,-39.717178250442736
-2.579562518613878,-46.1774388843975
-30.270165746714312,-13.55845276171409
-19.18074029712162,-39.43121031252249
-8.36858086242938,-46.61280389130262
-17.1497568532191,-29.462194283432353
-13.206442268712312,-31.682496130548802
-28.48752434543294,-28.794790540349716
-12.930760813630627,-30.732449647812942
-19.750480962873855,-35.29328489491696
-22.915559520357622,-41.28295926920901
-27.513164575600857,-20.38506234366029
-36.97486353275597,-17.560391912636067
-31.014795751049185,-15.466423844960206
-12.610566705582345,-42.19900423011826
-30.168846612412,-7.719403770356173
-15.656499389266274,-48.00806841663876
-23.56611291935411,-26.116392534551103
-4.695916858095196,-44.36487701135876
-11.788734973374945,-50.790569897704785
-17.983565984868513,-26.335159584246416
-35.052661342723695,-10.18694161579312
-7.339515197073473,-50.509693360132495
-29.21114648196296,-6.490253291088207
-34.28401998950651,-27.206706209666716
-21.669286832387414,-19.76783482648505
-16.814767377235817,-41.857254122636334
-13.067302005047605,-36.054548720798806
-15.168812962455153,-45.316680541819586
-27.090792755489495,-14.4975512277867
-24.800736467159904,-7.958959938896879
-14.790287905749008,-46.396107993715795
-18.73317784058739,-23.02728369297814
-27.706995895786672,-7.5669797408987565
-26.315810941743823,-16.821799563973176
-16.21236950685448,-43.79419242555021
-26.662601706683386,-38.83069040216956
-25.072496075489568,-28.628145763985085
-4.6252805558860715,-46.57006656101317
-20.144088046733412,-40.275415567668844
-33.04198079153034,-10.541858534323033
-33.54487833159357,-17.77143099166399
-32.56621274636384,-10.781463860839962
-24.2221086131955,-13.90490735138905
-18.15425973090008,-33.853124262911756
-26.03809898320285,-34.79895561532414
-24.363318700972826,-26.472668613426805
-11.658190485347102,-22.146676120818533
-5.304117185906917,-45.65380817743542
-19.005075443719463,-40.90613936810381
-20.811358524020548,-31.834531071646662
-27.668047009637377,-13.225597209652685
-19.721050244593133,-29.830212782872845
-25.251095405480896,-19.027938414204616
-14.510226167870988,-46.34919608864352
-18.94179038300646,-30.2051450329712
-31.014616908690716,-30.29734787254
-22.478483649114384,-20.133642350212085
-22.23662022612599,-49.82762456853899
-28.788004915899066,-18.464249925564097
-12.076996895769467,-49.26957328319849
-16.830003529825916,-38.335585241087486
-22.921555958896413,-27.54079077833144
-29.20902609407655,-12.815731353009348
-11.685444111392929,-45.764860941964976
-20.240005522061416,-47.098803009138194
-25.224725671954605,-10.861828459187969
-32.9224218600931,-11.722916132943332
-5.887245048881812,-34.99770682878967
-16.176538969100083,-36.349275866871416
-23.885388757198083,-10.805129913429468
-20.59223039595317,-54.22625404458891
-21.481278149893587,-5.271511522388102
-19.294783406419818,-40.83935953121292
-10.124668477423652,-49.290108227484005
-8.691521763486723,-39.54971387305467
-28.589087057956505,-7.8602572616763675
-20.768452779110287,-35.566074527062966
-18.03716457252589,-34.117900342329904
-22.22678518049487,-20.652650995138725
-12.94377221759851,-26.115027516303112
-14.383227600546455,-28.560946702895823
-33.36026713250232,-10.365750874996994
-8.860916624941682,-41.806555585130035
-6.176806648335851,-44.47240462777459
-24.293439281300394,-15.895082462050679
37.891505035502,-1.4126476340337526
50.08239228471475,-5.886754712425205
46.811755276892264,-19.11189986915855
47.19223521265333,2.0985016617761576
40.555942091798194,-10.465434051555578
40.91766815373617,4.143939995127441
45.18473924043268,-12.038998717580204
41.54371340913657,-4.791434177948694
34.59397302293181,-10.192670595277967
46.89980349476581,-4.866214295261791
31.28356317421427,2.208383202028438
42.36473749169247,-14.563488187102564
37.893367957974135,-10.952247517185853
46.121579256389076,-6.706033372259282
43.93556217038894,-19.68235368614074
52.917076705768515,-13.337297972618817
34.947197602706815,-18.67795255470254
45.572548939455835,-4.289614780992594
52.04144921831203,-19.490336606700634
37.70512720079223,-0.08337786362923189
56.138173800743594,-12.446332149463938
40.01999930794525,-4.47535926128974
41.03122159812016,0.23073697184000483
38.40583641251121,-3.0659091179706417
41.54147521238123,-15.453733316982074
46.857588882622956,-16.206129374200177
43.85477177043037,-13.812967282677578
31.749248460529152,3.907767738594342
45.76776995960832,-1.9096738181908381
42.903704242923176,-9.290947289444386
47.66319202641881,-2.7725577732299302
51.980007142304395,-7.641698442170979
