t-SNE Dimension 1,t-SNE Dimension 2
6.473754,17.313272
-0.90032625,34.25085
8.847677,-28.245296
6.41821,4.3858976
6.5656753,3.054431
-1.0793154,27.500057
7.8842554,-0.84492207
4.601285,7.0706916
5.959329,6.163735
25.470816,10.797108
-0.6239841,28.244871
12.523772,-4.9470043
4.855682,21.954187
7.363704,9.714428
0.22031537,30.6387
-4.3518023,23.889145
-0.88671213,29.935616
6.215802,6.294854
6.812304,10.867191
7.033651,10.34372
1.1997772,34.35376
1.0898746,20.182493
6.5691924,15.317989
-4.5463376,23.630999
11.014936,-4.6041684
6.5934644,22.243032
6.5690413,2.9846194
6.30753,18.291492
5.4779415,25.770987
-0.32926884,32.722626
9.060536,-2.1212356
-1.6458939,26.981625
10.612168,-3.9596496
13.136522,9.133453
1.2376812,19.926523
-2.215358,29.024887
2.289205,9.0475235
-1.8610058,16.73377
1.5446203,21.611465
8.751629,-1.8535191
0.41287825,33.66095
5.4472,27.866455
-1.447379,15.278874
6.60997,15.788119
-5.3912907,21.718065
1.214654,23.028923
2.949339,6.6828747
2.1361425,9.264875
-2.0006306,29.496374
0.41949776,35.466766
1.5400428,20.701443
-2.2050366,17.85687
9.701673,-2.7912002
11.01131,7.3882904
1.1929553,34.065887
5.6914086,18.882872
0.79733795,34.798058
4.670586,7.1123347
7.986082,-0.47579068
-6.2827306,23.712372
1.8974537,33.633312
4.719102,29.30378
4.792467,21.101759
5.9844117,13.279856
11.587104,-4.8749537
-6.2297873,22.031881
-1.4905112,15.413421
3.1261315,33.65181
6.327335,11.85504
2.8205528,6.4043207
5.3028607,25.608824
9.522656,-6.031069
7.1127625,21.850449
-1.8727608,26.525099
7.2783723,-1.077914
3.5974379,22.22679
0.44885477,20.240917
5.728464,26.308414
4.9220705,28.677584
5.67788,13.165967
7.12356,22.694693
-2.154501,25.906107
5.71029,22.231909
10.833399,7.379923
4.430494,29.773203
-1.9035461,16.999092
0.45146373,29.04572
9.39736,-6.0626407
2.919965,6.7791276
3.2362916,33.622643
-3.915083,24.089666
-0.73504424,28.604193
-5.946873,21.858809
7.4968085,7.6731644
52.27005,-37.25699
54.665092,-26.543634
57.049004,-26.14742
27.276754,-40.19093
53.0903,-25.092754
30.795336,-31.652658
26.178038,-34.39635
27.212801,-39.082985
56.125168,-26.31208
23.067335,-34.756824
37.00194,-25.576334
32.32049,-21.867264
45.568405,-31.10154
47.77148,-24.839848
30.454092,-31.736399
40.226864,-27.837553
31.517887,-33.484917
46.162575,-43.11288
26.925869,-37.913704
52.7551,-28.710918
51.55726,-36.59934
26.419264,-32.157097
44.463585,-41.4334
51.838352,-22.616882
52.303284,-25.295235
53.641468,-24.517014
43.402695,-43.376137
34.111893,-32.452263
45.696247,-31.626871
51.464634,-20.775211
34.88002,-33.812366
50.322906,-29.59549
51.80957,-36.83961
42.88522,-43.289646
39.119724,-26.795414
44.46708,-40.195137
47.673573,-34.032352
26.013538,-35.470097
27.268194,-40.480625
41.83109,-40.771713
25.338644,-31.213593
51.375015,-20.846142
34.491146,-32.38436
32.16666,-21.76154
33.151344,-27.377407
47.272373,-19.442432
41.21491,-28.73209
41.630264,-40.58896
48.971836,-25.802402
23.043554,-34.759895
43.368233,-43.27385
45.64051,-31.737055
27.427742,-39.802856
48.370804,-18.569412
32.890484,-30.69778
35.173916,-26.27992
34.887413,-33.014435
27.125666,-40.726704
34.213963,-33.619617
32.236244,-21.801783
25.139263,-31.106447
51.726364,-21.84487
26.070402,-35.37313
18.84642,-27.12357
33.447598,-33.710075
44.394093,-39.94118
48.363403,-18.730785
49.097027,-25.905533
31.581621,-33.564903
49.870525,-19.006243
23.713772,-29.116814
54.21936,-39.11714
43.997345,-42.795677
